"active_cases","active_cases_change","cumulative_cases","cumulative_deaths","cumulative_recovered","date_active","province"
0,0,0,0,0,"25-01-2020","Alberta"
0,0,0,0,0,"26-01-2020","Alberta"
0,0,0,0,0,"27-01-2020","Alberta"
0,0,0,0,0,"28-01-2020","Alberta"
0,0,0,0,0,"29-01-2020","Alberta"
0,0,0,0,0,"30-01-2020","Alberta"
0,0,0,0,0,"31-01-2020","Alberta"
0,0,0,0,0,"01-02-2020","Alberta"
0,0,0,0,0,"02-02-2020","Alberta"
0,0,0,0,0,"03-02-2020","Alberta"
0,0,0,0,0,"04-02-2020","Alberta"
0,0,0,0,0,"05-02-2020","Alberta"
0,0,0,0,0,"06-02-2020","Alberta"
0,0,0,0,0,"07-02-2020","Alberta"
0,0,0,0,0,"08-02-2020","Alberta"
0,0,0,0,0,"09-02-2020","Alberta"
0,0,0,0,0,"10-02-2020","Alberta"
0,0,0,0,0,"11-02-2020","Alberta"
0,0,0,0,0,"12-02-2020","Alberta"
0,0,0,0,0,"13-02-2020","Alberta"
0,0,0,0,0,"14-02-2020","Alberta"
0,0,0,0,0,"15-02-2020","Alberta"
0,0,0,0,0,"16-02-2020","Alberta"
0,0,0,0,0,"17-02-2020","Alberta"
0,0,0,0,0,"18-02-2020","Alberta"
0,0,0,0,0,"19-02-2020","Alberta"
0,0,0,0,0,"20-02-2020","Alberta"
0,0,0,0,0,"21-02-2020","Alberta"
0,0,0,0,0,"22-02-2020","Alberta"
0,0,0,0,0,"23-02-2020","Alberta"
0,0,0,0,0,"24-02-2020","Alberta"
0,0,0,0,0,"25-02-2020","Alberta"
0,0,0,0,0,"26-02-2020","Alberta"
0,0,0,0,0,"27-02-2020","Alberta"
0,0,0,0,0,"28-02-2020","Alberta"
0,0,0,0,0,"29-02-2020","Alberta"
0,0,0,0,0,"01-03-2020","Alberta"
0,0,0,0,0,"02-03-2020","Alberta"
0,0,0,0,0,"03-03-2020","Alberta"
0,0,0,0,0,"04-03-2020","Alberta"
1,1,1,0,0,"05-03-2020","Alberta"
2,1,2,0,0,"06-03-2020","Alberta"
2,0,2,0,0,"07-03-2020","Alberta"
4,2,4,0,0,"08-03-2020","Alberta"
14,10,14,0,0,"09-03-2020","Alberta"
14,0,14,0,0,"10-03-2020","Alberta"
19,5,19,0,0,"11-03-2020","Alberta"
23,4,23,0,0,"12-03-2020","Alberta"
29,6,29,0,0,"13-03-2020","Alberta"
39,10,39,0,0,"14-03-2020","Alberta"
56,17,56,0,0,"15-03-2020","Alberta"
74,18,74,0,0,"16-03-2020","Alberta"
97,23,97,0,0,"17-03-2020","Alberta"
119,22,119,0,0,"18-03-2020","Alberta"
143,24,146,1,2,"19-03-2020","Alberta"
191,48,195,1,3,"20-03-2020","Alberta"
222,31,226,1,3,"21-03-2020","Alberta"
255,33,259,1,3,"22-03-2020","Alberta"
297,42,301,1,3,"23-03-2020","Alberta"
353,56,358,2,3,"24-03-2020","Alberta"
414,61,419,2,3,"25-03-2020","Alberta"
457,43,486,2,27,"26-03-2020","Alberta"
507,50,542,2,33,"27-03-2020","Alberta"
566,59,621,2,53,"28-03-2020","Alberta"
585,19,661,3,73,"29-03-2020","Alberta"
588,3,690,8,94,"30-03-2020","Alberta"
625,37,754,9,120,"31-03-2020","Alberta"
718,93,871,11,142,"01-04-2020","Alberta"
781,63,968,13,174,"02-04-2020","Alberta"
861,80,1075,18,196,"03-04-2020","Alberta"
965,104,1181,20,196,"04-04-2020","Alberta"
948,-17,1250,23,279,"05-04-2020","Alberta"
963,15,1348,24,361,"06-04-2020","Alberta"
900,-63,1373,26,447,"07-04-2020","Alberta"
875,-25,1423,29,519,"08-04-2020","Alberta"
827,-48,1451,32,592,"09-04-2020","Alberta"
748,-79,1500,39,713,"10-04-2020","Alberta"
755,7,1569,40,774,"11-04-2020","Alberta"
784,29,1651,44,823,"12-04-2020","Alberta"
809,25,1732,46,877,"13-04-2020","Alberta"
908,99,1870,48,914,"14-04-2020","Alberta"
1034,126,1996,48,914,"15-04-2020","Alberta"
1194,160,2158,50,914,"16-04-2020","Alberta"
1223,29,2397,50,1124,"17-04-2020","Alberta"
1349,126,2562,51,1162,"18-04-2020","Alberta"
1550,201,2803,55,1198,"19-04-2020","Alberta"
1619,69,2908,59,1230,"20-04-2020","Alberta"
1761,142,3095,61,1273,"21-04-2020","Alberta"
2025,264,3401,66,1310,"22-04-2020","Alberta"
2295,270,3720,68,1357,"23-04-2020","Alberta"
2548,253,4017,72,1397,"24-04-2020","Alberta"
2688,140,4232,73,1471,"25-04-2020","Alberta"
2853,165,4475,73,1549,"26-04-2020","Alberta"
2952,99,4691,75,1664,"27-04-2020","Alberta"
2970,18,4850,80,1800,"28-04-2020","Alberta"
3125,155,5165,87,1953,"29-04-2020","Alberta"
3105,-20,5355,89,2161,"30-04-2020","Alberta"
3122,17,5573,92,2359,"01-05-2020","Alberta"
3041,-81,5669,94,2534,"02-05-2020","Alberta"
2954,-87,5762,95,2713,"03-05-2020","Alberta"
2790,-164,5836,104,2942,"04-05-2020","Alberta"
2568,-222,5893,106,3219,"05-05-2020","Alberta"
2299,-269,5963,112,3552,"06-05-2020","Alberta"
2094,-205,6017,114,3809,"07-05-2020","Alberta"
1963,-131,6098,115,4020,"08-05-2020","Alberta"
1837,-126,6157,116,4204,"09-05-2020","Alberta"
1747,-90,6253,117,4389,"10-05-2020","Alberta"
1524,-223,6300,117,4659,"11-05-2020","Alberta"
1361,-163,6345,118,4866,"12-05-2020","Alberta"
1211,-150,6407,120,5076,"13-05-2020","Alberta"
1131,-80,6457,121,5205,"14-05-2020","Alberta"
1072,-59,6514,125,5317,"15-05-2020","Alberta"
1083,11,6586,126,5377,"16-05-2020","Alberta"
1063,-20,6643,127,5453,"17-05-2020","Alberta"
1035,-28,6682,128,5519,"18-05-2020","Alberta"
1003,-32,6715,128,5584,"19-05-2020","Alberta"
969,-34,6734,128,5637,"20-05-2020","Alberta"
925,-44,6767,132,5710,"21-05-2020","Alberta"
864,-61,6799,134,5801,"22-05-2020","Alberta"
813,-51,6817,135,5869,"23-05-2020","Alberta"
800,-13,6859,135,5924,"24-05-2020","Alberta"
761,-39,6878,138,5979,"25-05-2020","Alberta"
713,-48,6900,139,6048,"26-05-2020","Alberta"
678,-35,6925,141,6106,"27-05-2020","Alberta"
651,-27,6954,143,6160,"28-05-2020","Alberta"
615,-36,6978,143,6220,"29-05-2020","Alberta"
604,-11,6992,143,6245,"30-05-2020","Alberta"
584,-20,7010,143,6283,"31-05-2020","Alberta"
400,-184,7044,143,6501,"01-06-2020","Alberta"
377,-23,7057,143,6537,"02-06-2020","Alberta"
344,-33,7076,145,6587,"03-06-2020","Alberta"
334,-10,7091,146,6611,"04-06-2020","Alberta"
328,-6,7098,146,6624,"05-06-2020","Alberta"
336,8,7138,146,6656,"06-06-2020","Alberta"
336,0,7138,146,6656,"07-06-2020","Alberta"
356,20,7202,148,6698,"08-06-2020","Alberta"
358,2,7229,149,6722,"09-06-2020","Alberta"
373,15,7276,149,6754,"10-06-2020","Alberta"
379,6,7316,149,6788,"11-06-2020","Alberta"
386,7,7346,149,6811,"12-06-2020","Alberta"
403,17,7383,150,6830,"13-06-2020","Alberta"
422,19,7433,150,6861,"14-06-2020","Alberta"
434,12,7447,151,6862,"15-06-2020","Alberta"
449,15,7482,151,6882,"16-06-2020","Alberta"
486,37,7530,151,6893,"17-06-2020","Alberta"
489,3,7579,152,6938,"18-06-2020","Alberta"
512,23,7625,152,6961,"19-06-2020","Alberta"
525,13,7673,152,6996,"20-06-2020","Alberta"
534,9,7704,152,7018,"21-06-2020","Alberta"
542,8,7736,153,7041,"22-06-2020","Alberta"
532,-10,7781,153,7096,"23-06-2020","Alberta"
538,6,7825,153,7134,"24-06-2020","Alberta"
506,-32,7851,154,7191,"25-06-2020","Alberta"
509,3,7888,154,7225,"26-06-2020","Alberta"
520,11,7957,154,7283,"27-06-2020","Alberta"
520,0,7996,154,7322,"28-06-2020","Alberta"
559,39,8067,154,7354,"29-06-2020","Alberta"
549,-10,8108,154,7405,"30-06-2020","Alberta"
549,0,8108,154,7405,"01-07-2020","Alberta"
542,-7,8202,155,7505,"02-07-2020","Alberta"
572,30,8259,155,7532,"03-07-2020","Alberta"
572,0,8259,155,7532,"04-07-2020","Alberta"
572,0,8259,155,7532,"05-07-2020","Alberta"
607,35,8389,155,7627,"06-07-2020","Alberta"
620,13,8436,157,7659,"07-07-2020","Alberta"
608,-12,8482,158,7716,"08-07-2020","Alberta"
585,-23,8519,160,7774,"09-07-2020","Alberta"
592,7,8596,160,7844,"10-07-2020","Alberta"
592,0,8596,160,7844,"11-07-2020","Alberta"
592,0,8596,160,7844,"12-07-2020","Alberta"
676,84,8826,161,7989,"13-07-2020","Alberta"
701,25,8912,163,8048,"14-07-2020","Alberta"
704,3,8994,163,8127,"15-07-2020","Alberta"
807,103,9114,165,8142,"16-07-2020","Alberta"
859,52,9219,167,8193,"17-07-2020","Alberta"
859,0,9219,167,8193,"18-07-2020","Alberta"
859,0,9219,167,8193,"19-07-2020","Alberta"
1109,250,9587,170,8308,"20-07-2020","Alberta"
1194,85,9728,171,8363,"21-07-2020","Alberta"
1252,58,9861,173,8436,"22-07-2020","Alberta"
1292,40,9973,175,8506,"23-07-2020","Alberta"
1340,48,10084,177,8567,"24-07-2020","Alberta"
1340,0,10084,177,8567,"25-07-2020","Alberta"
1340,0,10084,177,8567,"26-07-2020","Alberta"
1428,88,10387,185,8774,"27-07-2020","Alberta"
1393,-35,10466,187,8886,"28-07-2020","Alberta"
1426,33,10599,190,8983,"29-07-2020","Alberta"
1404,-22,10712,195,9113,"30-07-2020","Alberta"
1382,-22,10839,196,9261,"31-07-2020","Alberta"
1382,0,10839,196,9261,"01-08-2020","Alberta"
1382,0,10839,196,9261,"02-08-2020","Alberta"
1382,0,10839,196,9261,"03-08-2020","Alberta"
1189,-193,11144,201,9754,"04-08-2020","Alberta"
1144,-45,11238,203,9891,"05-08-2020","Alberta"
1105,-39,11294,205,9984,"06-08-2020","Alberta"
1125,20,11430,208,10097,"07-08-2020","Alberta"
1125,0,11430,208,10097,"08-08-2020","Alberta"
1125,0,11430,208,10097,"09-08-2020","Alberta"
1090,-35,11687,213,10384,"10-08-2020","Alberta"
1004,-86,11772,216,10552,"11-08-2020","Alberta"
1044,40,11893,217,10632,"12-08-2020","Alberta"
1036,-8,11969,220,10713,"13-08-2020","Alberta"
1036,0,12053,221,10796,"14-08-2020","Alberta"
1036,0,12053,221,10796,"15-08-2020","Alberta"
1036,0,12053,221,10796,"16-08-2020","Alberta"
1050,14,12330,224,11056,"17-08-2020","Alberta"
1169,119,12419,225,11025,"18-08-2020","Alberta"
1107,-62,12501,227,11167,"19-08-2020","Alberta"
