"avaccine","cumulative_avaccine","date_vaccine_administered","province"
0,0,"14-12-2020","Alberta"
20,20,"15-12-2020","Alberta"
0,20,"16-12-2020","Alberta"
374,394,"17-12-2020","Alberta"
0,394,"18-12-2020","Alberta"
0,394,"19-12-2020","Alberta"
1754,2148,"20-12-2020","Alberta"
0,2148,"21-12-2020","Alberta"
926,3074,"22-12-2020","Alberta"
562,3636,"23-12-2020","Alberta"
1075,4711,"24-12-2020","Alberta"
0,4711,"25-12-2020","Alberta"
0,4711,"26-12-2020","Alberta"
0,4711,"27-12-2020","Alberta"
1305,6016,"28-12-2020","Alberta"
486,6502,"29-12-2020","Alberta"
2042,8544,"30-12-2020","Alberta"
2558,11102,"31-12-2020","Alberta"
3142,14244,"01-01-2021","Alberta"
3000,17244,"02-01-2021","Alberta"
0,17244,"03-01-2021","Alberta"
5617,22861,"04-01-2021","Alberta"
3408,26269,"05-01-2021","Alberta"
3764,30033,"06-01-2021","Alberta"
3831,33864,"07-01-2021","Alberta"
3822,37686,"08-01-2021","Alberta"
4647,42333,"09-01-2021","Alberta"
2661,44994,"10-01-2021","Alberta"
1797,46791,"11-01-2021","Alberta"
5527,52318,"12-01-2021","Alberta"
5826,58144,"13-01-2021","Alberta"
8809,66953,"14-01-2021","Alberta"
7157,74110,"15-01-2021","Alberta"
7451,81561,"16-01-2021","Alberta"
4374,85935,"17-01-2021","Alberta"
3879,89814,"18-01-2021","Alberta"
2501,92315,"19-01-2021","Alberta"
2928,95243,"20-01-2021","Alberta"
0,0,"14-12-2020","BC"
409,409,"15-12-2020","BC"
0,409,"16-12-2020","BC"
806,1215,"17-12-2020","BC"
1377,2592,"18-12-2020","BC"
0,2592,"19-12-2020","BC"
0,2592,"20-12-2020","BC"
1052,3644,"21-12-2020","BC"
464,4108,"22-12-2020","BC"
1495,5603,"23-12-2020","BC"
2575,8178,"24-12-2020","BC"
0,8178,"25-12-2020","BC"
0,8178,"26-12-2020","BC"
0,8178,"27-12-2020","BC"
0,8178,"28-12-2020","BC"
3752,11930,"29-12-2020","BC"
2097,14027,"30-12-2020","BC"
3483,17510,"31-12-2020","BC"
0,17510,"01-01-2021","BC"
0,17510,"02-01-2021","BC"
0,17510,"03-01-2021","BC"
6629,24139,"04-01-2021","BC"
4070,28209,"05-01-2021","BC"
5456,33665,"06-01-2021","BC"
7399,41064,"07-01-2021","BC"
5195,46259,"08-01-2021","BC"
0,46259,"09-01-2021","BC"
0,46259,"10-01-2021","BC"
13643,59902,"11-01-2021","BC"
2392,62294,"12-01-2021","BC"
1136,63430,"13-01-2021","BC"
6316,69746,"14-01-2021","BC"
6168,75914,"15-01-2021","BC"
0,75914,"16-01-2021","BC"
0,75914,"17-01-2021","BC"
11432,87346,"18-01-2021","BC"
5023,92369,"19-01-2021","BC"
5756,98125,"20-01-2021","BC"
0,0,"14-12-2020","Manitoba"
0,0,"15-12-2020","Manitoba"
302,302,"16-12-2020","Manitoba"
0,302,"17-12-2020","Manitoba"
291,593,"18-12-2020","Manitoba"
0,593,"19-12-2020","Manitoba"
0,593,"20-12-2020","Manitoba"
301,894,"21-12-2020","Manitoba"
298,1192,"22-12-2020","Manitoba"
495,1687,"23-12-2020","Manitoba"
490,2177,"24-12-2020","Manitoba"
0,2177,"25-12-2020","Manitoba"
0,2177,"26-12-2020","Manitoba"
0,2177,"27-12-2020","Manitoba"
0,2177,"28-12-2020","Manitoba"
300,2477,"29-12-2020","Manitoba"
423,2900,"30-12-2020","Manitoba"
500,3400,"31-12-2020","Manitoba"
0,3400,"01-01-2021","Manitoba"
32,3432,"02-01-2021","Manitoba"
0,3432,"03-01-2021","Manitoba"
10,3442,"04-01-2021","Manitoba"
850,4292,"05-01-2021","Manitoba"
873,5165,"06-01-2021","Manitoba"
1163,6328,"07-01-2021","Manitoba"
1156,7484,"08-01-2021","Manitoba"
1190,8674,"09-01-2021","Manitoba"
824,9498,"10-01-2021","Manitoba"
855,10353,"11-01-2021","Manitoba"
0,10353,"12-01-2021","Manitoba"
2056,12409,"13-01-2021","Manitoba"
0,12409,"14-01-2021","Manitoba"
1130,13539,"15-01-2021","Manitoba"
0,13539,"16-01-2021","Manitoba"
0,13539,"17-01-2021","Manitoba"
4212,17751,"18-01-2021","Manitoba"
0,17751,"19-01-2021","Manitoba"
4614,22365,"20-01-2021","Manitoba"
0,0,"14-12-2020","New Brunswick"
0,0,"15-12-2020","New Brunswick"
0,0,"16-12-2020","New Brunswick"
0,0,"17-12-2020","New Brunswick"
0,0,"18-12-2020","New Brunswick"
5,5,"19-12-2020","New Brunswick"
0,5,"20-12-2020","New Brunswick"
1866,1871,"21-12-2020","New Brunswick"
0,1871,"22-12-2020","New Brunswick"
0,1871,"23-12-2020","New Brunswick"
0,1871,"24-12-2020","New Brunswick"
0,1871,"25-12-2020","New Brunswick"
0,1871,"26-12-2020","New Brunswick"
0,1871,"27-12-2020","New Brunswick"
1034,2905,"28-12-2020","New Brunswick"
0,2905,"29-12-2020","New Brunswick"
0,2905,"30-12-2020","New Brunswick"
0,2905,"31-12-2020","New Brunswick"
0,2905,"01-01-2021","New Brunswick"
0,2905,"02-01-2021","New Brunswick"
0,2905,"03-01-2021","New Brunswick"
0,2905,"04-01-2021","New Brunswick"
0,2905,"05-01-2021","New Brunswick"
1200,4105,"06-01-2021","New Brunswick"
914,5019,"07-01-2021","New Brunswick"
0,5019,"08-01-2021","New Brunswick"
0,5019,"09-01-2021","New Brunswick"
0,5019,"10-01-2021","New Brunswick"
2713,7732,"11-01-2021","New Brunswick"
0,7732,"12-01-2021","New Brunswick"
0,7732,"13-01-2021","New Brunswick"
0,7732,"14-01-2021","New Brunswick"
0,7732,"15-01-2021","New Brunswick"
0,7732,"16-01-2021","New Brunswick"
0,7732,"17-01-2021","New Brunswick"
2704,10436,"18-01-2021","New Brunswick"
0,10436,"19-01-2021","New Brunswick"
0,10436,"20-01-2021","New Brunswick"
0,0,"14-12-2020","NL"
0,0,"15-12-2020","NL"
2,2,"16-12-2020","NL"
13,15,"17-12-2020","NL"
160,175,"18-12-2020","NL"
0,175,"19-12-2020","NL"
0,175,"20-12-2020","NL"
797,972,"21-12-2020","NL"
0,972,"22-12-2020","NL"
813,1785,"23-12-2020","NL"
0,1785,"24-12-2020","NL"
0,1785,"25-12-2020","NL"
0,1785,"26-12-2020","NL"
0,1785,"27-12-2020","NL"
0,1785,"28-12-2020","NL"
0,1785,"29-12-2020","NL"
0,1785,"30-12-2020","NL"
0,1785,"31-12-2020","NL"
0,1785,"01-01-2021","NL"
0,1785,"02-01-2021","NL"
0,1785,"03-01-2021","NL"
0,1785,"04-01-2021","NL"
0,1785,"05-01-2021","NL"
0,1785,"06-01-2021","NL"
0,1785,"07-01-2021","NL"
0,1785,"08-01-2021","NL"
0,1785,"09-01-2021","NL"
0,1785,"10-01-2021","NL"
1975,3760,"11-01-2021","NL"
0,3760,"12-01-2021","NL"
1531,5291,"13-01-2021","NL"
0,5291,"14-01-2021","NL"
0,5291,"15-01-2021","NL"
0,5291,"16-01-2021","NL"
0,5291,"17-01-2021","NL"
0,5291,"18-01-2021","NL"
0,5291,"19-01-2021","NL"
3258,8549,"20-01-2021","NL"
0,0,"14-12-2020","Nova Scotia"
0,0,"15-12-2020","Nova Scotia"
376,376,"16-12-2020","Nova Scotia"
0,376,"17-12-2020","Nova Scotia"
0,376,"18-12-2020","Nova Scotia"
0,376,"19-12-2020","Nova Scotia"
0,376,"20-12-2020","Nova Scotia"
1087,1463,"21-12-2020","Nova Scotia"
0,1463,"22-12-2020","Nova Scotia"
0,1463,"23-12-2020","Nova Scotia"
0,1463,"24-12-2020","Nova Scotia"
0,1463,"25-12-2020","Nova Scotia"
0,1463,"26-12-2020","Nova Scotia"
0,1463,"27-12-2020","Nova Scotia"
0,1463,"28-12-2020","Nova Scotia"
827,2290,"29-12-2020","Nova Scotia"
306,2596,"30-12-2020","Nova Scotia"
0,2596,"31-12-2020","Nova Scotia"
0,2596,"01-01-2021","Nova Scotia"
124,2720,"02-01-2021","Nova Scotia"
0,2720,"03-01-2021","Nova Scotia"
0,2720,"04-01-2021","Nova Scotia"
0,2720,"05-01-2021","Nova Scotia"
0,2720,"06-01-2021","Nova Scotia"
0,2720,"07-01-2021","Nova Scotia"
0,2720,"08-01-2021","Nova Scotia"
1111,3831,"09-01-2021","Nova Scotia"
0,3831,"10-01-2021","Nova Scotia"
0,3831,"11-01-2021","Nova Scotia"
0,3831,"12-01-2021","Nova Scotia"
0,3831,"13-01-2021","Nova Scotia"
0,3831,"14-01-2021","Nova Scotia"
3769,7600,"15-01-2021","Nova Scotia"
0,7600,"16-01-2021","Nova Scotia"
0,7600,"17-01-2021","Nova Scotia"
0,7600,"18-01-2021","Nova Scotia"
920,8520,"19-01-2021","Nova Scotia"
655,9175,"20-01-2021","Nova Scotia"
0,0,"14-12-2020","Nunavut"
0,0,"15-12-2020","Nunavut"
0,0,"16-12-2020","Nunavut"
0,0,"17-12-2020","Nunavut"
0,0,"18-12-2020","Nunavut"
0,0,"19-12-2020","Nunavut"
0,0,"20-12-2020","Nunavut"
0,0,"21-12-2020","Nunavut"
0,0,"22-12-2020","Nunavut"
0,0,"23-12-2020","Nunavut"
0,0,"24-12-2020","Nunavut"
0,0,"25-12-2020","Nunavut"
0,0,"26-12-2020","Nunavut"
0,0,"27-12-2020","Nunavut"
0,0,"28-12-2020","Nunavut"
0,0,"29-12-2020","Nunavut"
0,0,"30-12-2020","Nunavut"
0,0,"31-12-2020","Nunavut"
0,0,"01-01-2021","Nunavut"
0,0,"02-01-2021","Nunavut"
0,0,"03-01-2021","Nunavut"
0,0,"04-01-2021","Nunavut"
0,0,"05-01-2021","Nunavut"
29,29,"06-01-2021","Nunavut"
0,29,"07-01-2021","Nunavut"
0,29,"08-01-2021","Nunavut"
0,29,"09-01-2021","Nunavut"
0,29,"10-01-2021","Nunavut"
0,29,"11-01-2021","Nunavut"
0,29,"12-01-2021","Nunavut"
371,400,"13-01-2021","Nunavut"
121,521,"14-01-2021","Nunavut"
462,983,"15-01-2021","Nunavut"
0,983,"16-01-2021","Nunavut"
0,983,"17-01-2021","Nunavut"
1158,2141,"18-01-2021","Nunavut"
404,2545,"19-01-2021","Nunavut"
0,2545,"20-01-2021","Nunavut"
0,0,"14-12-2020","NWT"
0,0,"15-12-2020","NWT"
0,0,"16-12-2020","NWT"
0,0,"17-12-2020","NWT"
0,0,"18-12-2020","NWT"
0,0,"19-12-2020","NWT"
0,0,"20-12-2020","NWT"
0,0,"21-12-2020","NWT"
0,0,"22-12-2020","NWT"
0,0,"23-12-2020","NWT"
0,0,"24-12-2020","NWT"
0,0,"25-12-2020","NWT"
0,0,"26-12-2020","NWT"
0,0,"27-12-2020","NWT"
0,0,"28-12-2020","NWT"
0,0,"29-12-2020","NWT"
0,0,"30-12-2020","NWT"
2,2,"31-12-2020","NWT"
0,2,"01-01-2021","NWT"
0,2,"02-01-2021","NWT"
0,2,"03-01-2021","NWT"
0,2,"04-01-2021","NWT"
128,130,"05-01-2021","NWT"
0,130,"06-01-2021","NWT"
0,130,"07-01-2021","NWT"
32,162,"08-01-2021","NWT"
0,162,"09-01-2021","NWT"
0,162,"10-01-2021","NWT"
0,162,"11-01-2021","NWT"
350,512,"12-01-2021","NWT"
0,512,"13-01-2021","NWT"
0,512,"14-01-2021","NWT"
