"Product.Title","X","Preliminary.dataset.on.confirmed.cases.of.COVID.19..Public.Health.Agency.of.Canada","X.1","X.2"
"Product Id","","13260003",NA,""
"URL","","https://www150.statcan.gc.ca/n1/en/catalogue/13260003",NA,""
"DOI","","https://doi.org/10.25318/132600032020001-eng",NA,""
"Survey Code","","5319",NA,""
"Survey Name","","COVID-19 epidemiological reports",NA,""
"Archive Status","","CURRENT - a cube available to the public and that is current",NA,""
"Frequency","","Occasional",NA,""
"Reference Period","","2020 Data",NA,""
"","","",NA,""
"Title Notes","","",NA,""
"1","Source: Public Health Agency of Canada (PHAC), COVID-19 epidemiological reports, with contribution from Provincial/Territorial Ministries of Health. For more information about this table please see the website: <a href=""https://www150.statcan.gc.ca/n1/en/catalogue/13260002"" rel=""external noopener noreferrer"" target=""_blank"">User Guide and Data Dictionary for Preliminary COVID-19 Data (opens new window)</a>.","",NA,""
"2","Given that the COVID-19 pandemic is rapidly evolving, these data are considered preliminary. The data published by Statistics Canada only account for those where a detailed case report was provided by the provincial or territorial jurisdiction to the Public Health Agency of Canada (PHAC). Statistics Canada’s detailed preliminary confirmed cases will not match the total case reporting done at the provincial and territorial levels which are reported daily by each jurisdiction and compiled by the PHAC.  The discrepancy is due to delays associated with the submission of the detailed information, its capture and coding. Hence, Statistics Canada’s file on detailed case reporting is a subset of the total counts reported by the health authorities across Canada.","",NA,""
"3","Confirmed cases are laboratory confirmed cases for which a case report form has been received by the Public Health Agency of Canada (PHAC) from provincial or territorial partners.","",NA,""
"4","On November 26th 2020, this direct-download data file replaced the data table 13-10-0781-01 of detailed confirmed cases from the Public Health Agency of Canada (PHAC).","",NA,""
"5","On December 10th, no updates were made except for the addition of new cases.","",NA,""
"6","The file includes some cases for which all of the information is missing, either because no information is available for them or because information is under review. These cases have been kept on the file to reflect a more accurate count of total COVID-19 cases in Canada even though there is no information available on those cases at this point.","",NA,""
"","","",NA,""
"Column Notes","Column Headers","",NA,"Column Definitions"
"7","Case Identifier Number","",NA,"Statistics Canada generated case identifier number."
"8","Region","",NA,"Region: 1 = Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador), 2 = Quebec, 3 = Ontario and Nunavut, 4 = Prairies (Alberta, Saskatchewan, and Manitoba) and the Northwest Territories, 5 = British Columbia and Yukon."
"9","Episode week","",NA,"The episode week and episode year are derived from the episode date. The episode date is created from the earliest date available from the following series: Symptom Onset Date, Specimen Collection Date and Laboratory Testing Date. When no date is available, this field is considered 'Not stated' and given the value 99. These values are corrected as Public Health Agency of Canada (PHAC) receives new information."
"24","","",NA,"""0"" represents the first days of the year leading up to, but not including the first Sunday. ""1"" represents the first full week of the year, beginning on the first Sunday, and so on."
"10","Episode week group","",NA,"Derived by Statistics Canada from Episode week. Indicates when multiple episode weeks have been grouped together to protect confidentiality."
"9","Episode year","",NA,"The episode week and episode year are derived from the episode date. The episode date is created from the earliest date available from the following series: Symptom Onset Date, Specimen Collection Date and Laboratory Testing Date. When no date is available, this field is considered 'Not stated' and given the value 99. These values are corrected as Public Health Agency of Canada (PHAC) receives new information."
