"cases","cumulative_cases","date_report","province"
1,1,"25-01-2020","Canada"
0,1,"26-01-2020","Canada"
1,2,"27-01-2020","Canada"
1,3,"28-01-2020","Canada"
0,3,"29-01-2020","Canada"
0,3,"30-01-2020","Canada"
1,4,"31-01-2020","Canada"
0,4,"01-02-2020","Canada"
0,4,"02-02-2020","Canada"
0,4,"03-02-2020","Canada"
1,5,"04-02-2020","Canada"
0,5,"05-02-2020","Canada"
2,7,"06-02-2020","Canada"
0,7,"07-02-2020","Canada"
0,7,"08-02-2020","Canada"
0,7,"09-02-2020","Canada"
0,7,"10-02-2020","Canada"
0,7,"11-02-2020","Canada"
0,7,"12-02-2020","Canada"
0,7,"13-02-2020","Canada"
1,8,"14-02-2020","Canada"
0,8,"15-02-2020","Canada"
0,8,"16-02-2020","Canada"
0,8,"17-02-2020","Canada"
0,8,"18-02-2020","Canada"
0,8,"19-02-2020","Canada"
1,9,"20-02-2020","Canada"
0,9,"21-02-2020","Canada"
0,9,"22-02-2020","Canada"
1,10,"23-02-2020","Canada"
1,11,"24-02-2020","Canada"
0,11,"25-02-2020","Canada"
1,12,"26-02-2020","Canada"
2,14,"27-02-2020","Canada"
2,16,"28-02-2020","Canada"
4,20,"29-02-2020","Canada"
4,24,"01-03-2020","Canada"
0,24,"02-03-2020","Canada"
9,33,"03-03-2020","Canada"
1,34,"04-03-2020","Canada"
12,46,"05-03-2020","Canada"
8,54,"06-03-2020","Canada"
6,60,"07-03-2020","Canada"
7,67,"08-03-2020","Canada"
19,86,"09-03-2020","Canada"
9,95,"10-03-2020","Canada"
21,116,"11-03-2020","Canada"
40,156,"12-03-2020","Canada"
42,198,"13-03-2020","Canada"
59,257,"14-03-2020","Canada"
84,341,"15-03-2020","Canada"
100,441,"16-03-2020","Canada"
156,597,"17-03-2020","Canada"
130,727,"18-03-2020","Canada"
146,873,"19-03-2020","Canada"
214,1087,"20-03-2020","Canada"
244,1331,"21-03-2020","Canada"
140,1471,"22-03-2020","Canada"
620,2091,"23-03-2020","Canada"
728,2819,"24-03-2020","Canada"
589,3408,"25-03-2020","Canada"
634,4042,"26-03-2020","Canada"
714,4756,"27-03-2020","Canada"
898,5654,"28-03-2020","Canada"
665,6319,"29-03-2020","Canada"
1127,7446,"30-03-2020","Canada"
1143,8589,"31-03-2020","Canada"
1599,10188,"01-04-2020","Canada"
1587,11775,"02-04-2020","Canada"
1202,12977,"03-04-2020","Canada"
1429,14406,"04-04-2020","Canada"
1506,15912,"05-04-2020","Canada"
1250,17162,"06-04-2020","Canada"
1397,18559,"07-04-2020","Canada"
1291,19850,"08-04-2020","Canada"
1550,21400,"09-04-2020","Canada"
1312,22712,"10-04-2020","Canada"
1247,23959,"11-04-2020","Canada"
1098,25057,"12-04-2020","Canada"
1368,26425,"13-04-2020","Canada"
1460,27885,"14-04-2020","Canada"
1346,29231,"15-04-2020","Canada"
1732,30963,"16-04-2020","Canada"
1883,32846,"17-04-2020","Canada"
1530,34376,"18-04-2020","Canada"
1634,36010,"19-04-2020","Canada"
1842,37852,"20-04-2020","Canada"
1531,39383,"21-04-2020","Canada"
1970,41353,"22-04-2020","Canada"
1863,43216,"23-04-2020","Canada"
1624,44840,"24-04-2020","Canada"
1419,46259,"25-04-2020","Canada"
1587,47846,"26-04-2020","Canada"
1632,49478,"27-04-2020","Canada"
1466,50944,"28-04-2020","Canada"
1693,52637,"29-04-2020","Canada"
1573,54210,"30-04-2020","Canada"
1956,56166,"01-05-2020","Canada"
1578,57744,"02-05-2020","Canada"
2560,60304,"03-05-2020","Canada"
1482,61786,"04-05-2020","Canada"
