"cumulative_cvaccine","cvaccine","date_vaccine_completed","province"
11605,11605,"12-01-2021","Canada"
17474,5869,"13-01-2021","Canada"
22292,4818,"14-01-2021","Canada"
27695,5403,"15-01-2021","Canada"
29934,2239,"16-01-2021","Canada"
32315,2381,"17-01-2021","Canada"
33064,749,"18-01-2021","Canada"
37617,4553,"19-01-2021","Canada"
45765,8148,"20-01-2021","Canada"
63782,18017,"21-01-2021","Canada"
74379,10597,"22-01-2021","Canada"
82999,8620,"23-01-2021","Canada"
88123,5124,"24-01-2021","Canada"
