"active_cases","active_cases_change","cumulative_cases","cumulative_deaths","cumulative_recovered","date_active","province"
1,1,1,0,0,"25-01-2020","Canada"
1,0,1,0,0,"26-01-2020","Canada"
2,1,2,0,0,"27-01-2020","Canada"
3,1,3,0,0,"28-01-2020","Canada"
3,0,3,0,0,"29-01-2020","Canada"
3,0,3,0,0,"30-01-2020","Canada"
4,1,4,0,0,"31-01-2020","Canada"
4,0,4,0,0,"01-02-2020","Canada"
4,0,4,0,0,"02-02-2020","Canada"
4,0,4,0,0,"03-02-2020","Canada"
5,1,5,0,0,"04-02-2020","Canada"
5,0,5,0,0,"05-02-2020","Canada"
7,2,7,0,0,"06-02-2020","Canada"
7,0,7,0,0,"07-02-2020","Canada"
7,0,7,0,0,"08-02-2020","Canada"
7,0,7,0,0,"09-02-2020","Canada"
7,0,7,0,0,"10-02-2020","Canada"
7,0,7,0,0,"11-02-2020","Canada"
6,-1,7,0,1,"12-02-2020","Canada"
6,0,7,0,1,"13-02-2020","Canada"
7,1,8,0,1,"14-02-2020","Canada"
7,0,8,0,1,"15-02-2020","Canada"
7,0,8,0,1,"16-02-2020","Canada"
7,0,8,0,1,"17-02-2020","Canada"
7,0,8,0,1,"18-02-2020","Canada"
6,-1,8,0,2,"19-02-2020","Canada"
6,0,9,0,3,"20-02-2020","Canada"
5,-1,9,0,4,"21-02-2020","Canada"
5,0,9,0,4,"22-02-2020","Canada"
6,1,10,0,4,"23-02-2020","Canada"
7,1,11,0,4,"24-02-2020","Canada"
4,-3,11,0,7,"25-02-2020","Canada"
5,1,12,0,7,"26-02-2020","Canada"
7,2,14,0,7,"27-02-2020","Canada"
9,2,16,0,7,"28-02-2020","Canada"
13,4,20,0,7,"29-02-2020","Canada"
17,4,24,0,7,"01-03-2020","Canada"
17,0,24,0,7,"02-03-2020","Canada"
26,9,33,0,7,"03-03-2020","Canada"
27,1,34,0,7,"04-03-2020","Canada"
38,11,46,0,8,"05-03-2020","Canada"
46,8,54,0,8,"06-03-2020","Canada"
52,6,60,0,8,"07-03-2020","Canada"
58,6,67,1,8,"08-03-2020","Canada"
76,18,86,1,9,"09-03-2020","Canada"
85,9,95,1,9,"10-03-2020","Canada"
105,20,116,2,9,"11-03-2020","Canada"
145,40,156,2,9,"12-03-2020","Canada"
186,41,198,2,10,"13-03-2020","Canada"
245,59,257,2,10,"14-03-2020","Canada"
329,84,341,2,10,"15-03-2020","Canada"
426,97,441,5,10,"16-03-2020","Canada"
579,153,597,8,10,"17-03-2020","Canada"
707,128,727,9,11,"18-03-2020","Canada"
848,141,873,12,13,"19-03-2020","Canada"
1059,211,1087,13,15,"20-03-2020","Canada"
1297,238,1331,18,16,"21-03-2020","Canada"
1432,135,1471,21,18,"22-03-2020","Canada"
1955,523,2091,24,112,"23-03-2020","Canada"
2606,651,2819,27,186,"24-03-2020","Canada"
3175,569,3408,35,198,"25-03-2020","Canada"
3774,599,4042,39,229,"26-03-2020","Canada"
4345,571,4756,55,356,"27-03-2020","Canada"
5088,743,5654,61,505,"28-03-2020","Canada"
5664,576,6319,66,589,"29-03-2020","Canada"
6234,570,7446,90,1122,"30-03-2020","Canada"
7157,923,8589,126,1306,"31-03-2020","Canada"
8367,1210,10188,145,1676,"01-04-2020","Canada"
9624,1257,11775,170,1981,"02-04-2020","Canada"
10419,795,12977,223,2335,"03-04-2020","Canada"
11386,967,14406,272,2748,"04-04-2020","Canada"
12497,1111,15912,302,3113,"05-04-2020","Canada"
13180,683,17162,353,3629,"06-04-2020","Canada"
14079,899,18559,417,4063,"07-04-2020","Canada"
14712,633,19850,472,4666,"08-04-2020","Canada"
15535,823,21400,541,5324,"09-04-2020","Canada"
16071,536,22712,615,6026,"10-04-2020","Canada"
16607,536,23959,689,6663,"11-04-2020","Canada"
17127,520,25057,745,7185,"12-04-2020","Canada"
17833,706,26425,821,7771,"13-04-2020","Canada"
18671,838,27885,966,8248,"14-04-2020","Canada"
19169,498,29231,1070,8992,"15-04-2020","Canada"
19989,820,30963,1249,9725,"16-04-2020","Canada"
20925,936,32846,1365,10556,"17-04-2020","Canada"
21629,704,34376,1527,11220,"18-04-2020","Canada"
22518,889,36010,1636,11856,"19-04-2020","Canada"
23496,978,37852,1757,12599,"20-04-2020","Canada"
24273,777,39383,1909,13201,"21-04-2020","Canada"
25282,1009,41353,2072,13999,"22-04-2020","Canada"
26210,928,43216,2232,14774,"23-04-2020","Canada"
26897,687,44840,2389,15554,"24-04-2020","Canada"
27269,372,46259,2552,16438,"25-04-2020","Canada"
27842,573,47846,2670,17334,"26-04-2020","Canada"
28380,538,49478,2817,18281,"27-04-2020","Canada"
28742,362,50944,2958,19244,"28-04-2020","Canada"
29164,422,52637,3133,20340,"29-04-2020","Canada"
29495,331,54210,3278,21437,"30-04-2020","Canada"
29895,400,56166,3507,22764,"01-05-2020","Canada"
30276,381,57744,3654,23814,"02-05-2020","Canada"
31615,1339,60304,3768,24921,"03-05-2020","Canada"
31776,161,61786,3980,26030,"04-05-2020","Canada"
31881,105,63054,4167,27006,"05-05-2020","Canada"
32010,129,64541,4347,28184,"06-05-2020","Canada"
32269,259,66051,4522,29260,"07-05-2020","Canada"
32603,334,67519,4677,30239,"08-05-2020","Canada"
32697,94,68761,4802,31262,"09-05-2020","Canada"
32856,159,69928,4963,32109,"10-05-2020","Canada"
33009,153,71115,5099,33007,"11-05-2020","Canada"
32936,-73,72273,5282,34055,"12-05-2020","Canada"
32836,-100,73422,5409,35177,"13-05-2020","Canada"
32966,130,74645,5575,36104,"14-05-2020","Canada"
33253,287,75823,5662,36908,"15-05-2020","Canada"
33444,191,77056,5780,37832,"16-05-2020","Canada"
33736,292,78182,5883,38563,"17-05-2020","Canada"
34067,331,79258,5940,39251,"18-05-2020","Canada"
34300,233,80373,6010,40063,"19-05-2020","Canada"
34528,228,81452,6135,40789,"20-05-2020","Canada"
34648,120,82625,6249,41728,"21-05-2020","Canada"
34887,239,83835,6341,42607,"22-05-2020","Canada"
35271,384,85035,6446,43318,"23-05-2020","Canada"
35479,208,85991,6514,43998,"24-05-2020","Canada"
35732,253,87018,6635,44651,"25-05-2020","Canada"
35911,179,87994,6731,45352,"26-05-2020","Canada"
35855,-56,88888,6856,46177,"27-05-2020","Canada"
36067,212,89882,6962,46853,"28-05-2020","Canada"
36236,169,90814,7045,47533,"29-05-2020","Canada"
