"avaccine","cumulative_avaccine","date_vaccine_administered","province"
297,297,"14-12-2020","Canada"
866,1163,"15-12-2020","Canada"
2520,3683,"16-12-2020","Canada"
3518,7201,"17-12-2020","Canada"
3414,10615,"18-12-2020","Canada"
1279,11894,"19-12-2020","Canada"
2598,14492,"20-12-2020","Canada"
6374,20866,"21-12-2020","Canada"
5421,26287,"22-12-2020","Canada"
8802,35089,"23-12-2020","Canada"
10309,45398,"24-12-2020","Canada"
302,45700,"25-12-2020","Canada"
3019,48719,"26-12-2020","Canada"
3561,52280,"27-12-2020","Canada"
7169,59449,"28-12-2020","Canada"
11300,70749,"29-12-2020","Canada"
8733,79482,"30-12-2020","Canada"
16350,95832,"31-12-2020","Canada"
8515,104347,"01-01-2021","Canada"
8078,112425,"02-01-2021","Canada"
5302,117727,"03-01-2021","Canada"
19032,136759,"04-01-2021","Canada"
18768,155527,"05-01-2021","Canada"
28163,183690,"06-01-2021","Canada"
35774,219464,"07-01-2021","Canada"
41770,261234,"08-01-2021","Canada"
36118,297352,"09-01-2021","Canada"
23697,321049,"10-01-2021","Canada"
39111,360160,"11-01-2021","Canada"
28333,388493,"12-01-2021","Canada"
30716,419209,"13-01-2021","Canada"
40283,459492,"14-01-2021","Canada"
48195,507687,"15-01-2021","Canada"
35604,543291,"16-01-2021","Canada"
27451,570742,"17-01-2021","Canada"
43924,614666,"18-01-2021","Canada"
36473,651139,"19-01-2021","Canada"
45103,696242,"20-01-2021","Canada"
42622,738864,"21-01-2021","Canada"
37742,776606,"22-01-2021","Canada"
24632,801238,"23-01-2021","Canada"
15213,816451,"24-01-2021","Canada"
23498,839949,"25-01-2021","Canada"
28505,868454,"26-01-2021","Canada"
22870,891324,"27-01-2021","Canada"
23907,915231,"28-01-2021","Canada"
