"cases","cumulative_cases","date_report","health_region","province"
0,0,"25-01-2020","Calgary","Alberta"
0,0,"26-01-2020","Calgary","Alberta"
0,0,"27-01-2020","Calgary","Alberta"
0,0,"28-01-2020","Calgary","Alberta"
0,0,"29-01-2020","Calgary","Alberta"
0,0,"30-01-2020","Calgary","Alberta"
0,0,"31-01-2020","Calgary","Alberta"
0,0,"01-02-2020","Calgary","Alberta"
0,0,"02-02-2020","Calgary","Alberta"
0,0,"03-02-2020","Calgary","Alberta"
0,0,"04-02-2020","Calgary","Alberta"
0,0,"05-02-2020","Calgary","Alberta"
0,0,"06-02-2020","Calgary","Alberta"
0,0,"07-02-2020","Calgary","Alberta"
0,0,"08-02-2020","Calgary","Alberta"
0,0,"09-02-2020","Calgary","Alberta"
0,0,"10-02-2020","Calgary","Alberta"
0,0,"11-02-2020","Calgary","Alberta"
0,0,"12-02-2020","Calgary","Alberta"
0,0,"13-02-2020","Calgary","Alberta"
0,0,"14-02-2020","Calgary","Alberta"
0,0,"15-02-2020","Calgary","Alberta"
0,0,"16-02-2020","Calgary","Alberta"
0,0,"17-02-2020","Calgary","Alberta"
0,0,"18-02-2020","Calgary","Alberta"
0,0,"19-02-2020","Calgary","Alberta"
0,0,"20-02-2020","Calgary","Alberta"
0,0,"21-02-2020","Calgary","Alberta"
0,0,"22-02-2020","Calgary","Alberta"
0,0,"23-02-2020","Calgary","Alberta"
0,0,"24-02-2020","Calgary","Alberta"
0,0,"25-02-2020","Calgary","Alberta"
0,0,"26-02-2020","Calgary","Alberta"
0,0,"27-02-2020","Calgary","Alberta"
0,0,"28-02-2020","Calgary","Alberta"
0,0,"29-02-2020","Calgary","Alberta"
0,0,"01-03-2020","Calgary","Alberta"
0,0,"02-03-2020","Calgary","Alberta"
0,0,"03-03-2020","Calgary","Alberta"
0,0,"04-03-2020","Calgary","Alberta"
1,1,"05-03-2020","Calgary","Alberta"
0,1,"06-03-2020","Calgary","Alberta"
0,1,"07-03-2020","Calgary","Alberta"
1,2,"08-03-2020","Calgary","Alberta"
6,8,"09-03-2020","Calgary","Alberta"
0,8,"10-03-2020","Calgary","Alberta"
3,11,"11-03-2020","Calgary","Alberta"
4,15,"12-03-2020","Calgary","Alberta"
5,20,"13-03-2020","Calgary","Alberta"
6,26,"14-03-2020","Calgary","Alberta"
14,40,"15-03-2020","Calgary","Alberta"
12,52,"16-03-2020","Calgary","Alberta"
18,70,"17-03-2020","Calgary","Alberta"
13,83,"18-03-2020","Calgary","Alberta"
18,101,"19-03-2020","Calgary","Alberta"
25,126,"20-03-2020","Calgary","Alberta"
13,139,"21-03-2020","Calgary","Alberta"
25,164,"22-03-2020","Calgary","Alberta"
25,189,"23-03-2020","Calgary","Alberta"
27,216,"24-03-2020","Calgary","Alberta"
35,251,"25-03-2020","Calgary","Alberta"
49,300,"26-03-2020","Calgary","Alberta"
37,337,"27-03-2020","Calgary","Alberta"
42,379,"28-03-2020","Calgary","Alberta"
30,409,"29-03-2020","Calgary","Alberta"
14,423,"30-03-2020","Calgary","Alberta"
31,454,"31-03-2020","Calgary","Alberta"
76,530,"01-04-2020","Calgary","Alberta"
61,591,"02-04-2020","Calgary","Alberta"
84,675,"03-04-2020","Calgary","Alberta"
62,737,"04-04-2020","Calgary","Alberta"
38,775,"05-04-2020","Calgary","Alberta"
43,818,"06-04-2020","Calgary","Alberta"
17,835,"07-04-2020","Calgary","Alberta"
25,860,"08-04-2020","Calgary","Alberta"
18,878,"09-04-2020","Calgary","Alberta"
39,917,"10-04-2020","Calgary","Alberta"
59,976,"11-04-2020","Calgary","Alberta"
70,1046,"12-04-2020","Calgary","Alberta"
68,1114,"13-04-2020","Calgary","Alberta"
128,1242,"14-04-2020","Calgary","Alberta"
94,1336,"15-04-2020","Calgary","Alberta"
133,1469,"16-04-2020","Calgary","Alberta"
208,1677,"17-04-2020","Calgary","Alberta"
148,1825,"18-04-2020","Calgary","Alberta"
180,2005,"19-04-2020","Calgary","Alberta"
75,2080,"20-04-2020","Calgary","Alberta"
127,2207,"21-04-2020","Calgary","Alberta"
192,2399,"22-04-2020","Calgary","Alberta"
239,2638,"23-04-2020","Calgary","Alberta"
200,2838,"24-04-2020","Calgary","Alberta"
131,2969,"25-04-2020","Calgary","Alberta"
142,3111,"26-04-2020","Calgary","Alberta"
151,3262,"27-04-2020","Calgary","Alberta"
109,3371,"28-04-2020","Calgary","Alberta"
158,3529,"29-04-2020","Calgary","Alberta"
69,3598,"30-04-2020","Calgary","Alberta"
117,3715,"01-05-2020","Calgary","Alberta"
69,3784,"02-05-2020","Calgary","Alberta"
68,3852,"03-05-2020","Calgary","Alberta"
64,3916,"04-05-2020","Calgary","Alberta"
48,3964,"05-05-2020","Calgary","Alberta"
