"cumulative_cvaccine","cvaccine","date_vaccine_completed","province"
8564,8564,"12-01-2021","Canada"
13085,4521,"13-01-2021","Canada"
15646,2561,"14-01-2021","Canada"
19148,3502,"15-01-2021","Canada"
20268,1120,"16-01-2021","Canada"
21458,1190,"17-01-2021","Canada"
22188,730,"18-01-2021","Canada"
24813,2625,"19-01-2021","Canada"
29585,4772,"20-01-2021","Canada"
43670,14085,"21-01-2021","Canada"
49733,6063,"22-01-2021","Canada"
54046,4313,"23-01-2021","Canada"
56683,2637,"24-01-2021","Canada"
64895,8212,"25-01-2021","Canada"
73053,8158,"26-01-2021","Canada"
82196,9143,"27-01-2021","Canada"
91944,9748,"28-01-2021","Canada"
