"cumulative_dvaccine","date_vaccine_distributed","dvaccine","province"
0,"13-12-2020",0,"Canada"
29325,"14-12-2020",29325,"Canada"
29325,"15-12-2020",0,"Canada"
29325,"16-12-2020",0,"Canada"
29325,"17-12-2020",0,"Canada"
29325,"18-12-2020",0,"Canada"
29325,"19-12-2020",0,"Canada"
29325,"20-12-2020",0,"Canada"
191475,"21-12-2020",162150,"Canada"
234375,"22-12-2020",42900,"Canada"
234375,"23-12-2020",0,"Canada"
234375,"24-12-2020",0,"Canada"
234375,"25-12-2020",0,"Canada"
234375,"26-12-2020",0,"Canada"
234375,"27-12-2020",0,"Canada"
257975,"28-12-2020",23600,"Canada"
257975,"29-12-2020",0,"Canada"
372600,"30-12-2020",114625,"Canada"
420450,"31-12-2020",47850,"Canada"
420450,"01-01-2021",0,"Canada"
420450,"02-01-2021",0,"Canada"
420450,"03-01-2021",0,"Canada"
420450,"04-01-2021",0,"Canada"
420450,"05-01-2021",0,"Canada"
433125,"06-01-2021",12675,"Canada"
545250,"07-01-2021",112125,"Canada"
545250,"08-01-2021",0,"Canada"
545250,"09-01-2021",0,"Canada"
545250,"10-01-2021",0,"Canada"
545250,"11-01-2021",0,"Canada"
545250,"12-01-2021",0,"Canada"
589125,"13-01-2021",43875,"Canada"
761500,"14-01-2021",172375,"Canada"
761500,"15-01-2021",0,"Canada"
766400,"16-01-2021",4900,"Canada"
817500,"17-01-2021",51100,"Canada"
848565,"18-01-2021",31065,"Canada"
888540,"19-01-2021",39975,"Canada"
907515,"20-01-2021",18975,"Canada"
920775,"21-01-2021",13260,"Canada"
1122450,"22-01-2021",201675,"Canada"
1122450,"23-01-2021",0,"Canada"
1122450,"24-01-2021",0,"Canada"
