"cumulative_deaths","date_death_report","deaths","province"
1,"08-03-2020",1,"Canada"
1,"09-03-2020",0,"Canada"
1,"10-03-2020",0,"Canada"
2,"11-03-2020",1,"Canada"
2,"12-03-2020",0,"Canada"
2,"13-03-2020",0,"Canada"
2,"14-03-2020",0,"Canada"
2,"15-03-2020",0,"Canada"
5,"16-03-2020",3,"Canada"
8,"17-03-2020",3,"Canada"
9,"18-03-2020",1,"Canada"
12,"19-03-2020",3,"Canada"
13,"20-03-2020",1,"Canada"
18,"21-03-2020",5,"Canada"
21,"22-03-2020",3,"Canada"
24,"23-03-2020",3,"Canada"
27,"24-03-2020",3,"Canada"
35,"25-03-2020",8,"Canada"
39,"26-03-2020",4,"Canada"
55,"27-03-2020",16,"Canada"
61,"28-03-2020",6,"Canada"
66,"29-03-2020",5,"Canada"
90,"30-03-2020",24,"Canada"
126,"31-03-2020",36,"Canada"
145,"01-04-2020",19,"Canada"
170,"02-04-2020",25,"Canada"
223,"03-04-2020",53,"Canada"
272,"04-04-2020",49,"Canada"
302,"05-04-2020",30,"Canada"
353,"06-04-2020",51,"Canada"
417,"07-04-2020",64,"Canada"
472,"08-04-2020",55,"Canada"
541,"09-04-2020",69,"Canada"
615,"10-04-2020",74,"Canada"
689,"11-04-2020",74,"Canada"
745,"12-04-2020",56,"Canada"
821,"13-04-2020",76,"Canada"
966,"14-04-2020",145,"Canada"
1070,"15-04-2020",104,"Canada"
1249,"16-04-2020",179,"Canada"
1365,"17-04-2020",116,"Canada"
1527,"18-04-2020",162,"Canada"
1636,"19-04-2020",109,"Canada"
1757,"20-04-2020",121,"Canada"
1909,"21-04-2020",152,"Canada"
2072,"22-04-2020",163,"Canada"
2232,"23-04-2020",160,"Canada"
2389,"24-04-2020",157,"Canada"
2552,"25-04-2020",163,"Canada"
2670,"26-04-2020",118,"Canada"
2817,"27-04-2020",147,"Canada"
2958,"28-04-2020",141,"Canada"
3133,"29-04-2020",175,"Canada"
3278,"30-04-2020",145,"Canada"
3507,"01-05-2020",229,"Canada"
3654,"02-05-2020",147,"Canada"
3768,"03-05-2020",114,"Canada"
3980,"04-05-2020",212,"Canada"
4167,"05-05-2020",187,"Canada"
4347,"06-05-2020",180,"Canada"
4522,"07-05-2020",175,"Canada"
4677,"08-05-2020",155,"Canada"
4802,"09-05-2020",125,"Canada"
4963,"10-05-2020",161,"Canada"
5099,"11-05-2020",136,"Canada"
5282,"12-05-2020",183,"Canada"
5409,"13-05-2020",127,"Canada"
5575,"14-05-2020",166,"Canada"
5662,"15-05-2020",87,"Canada"
5780,"16-05-2020",118,"Canada"
5883,"17-05-2020",103,"Canada"
5940,"18-05-2020",57,"Canada"
6010,"19-05-2020",70,"Canada"
6135,"20-05-2020",125,"Canada"
6249,"21-05-2020",114,"Canada"
6341,"22-05-2020",92,"Canada"
6446,"23-05-2020",105,"Canada"
6514,"24-05-2020",68,"Canada"
6635,"25-05-2020",121,"Canada"
6731,"26-05-2020",96,"Canada"
6856,"27-05-2020",125,"Canada"
6962,"28-05-2020",106,"Canada"
7045,"29-05-2020",83,"Canada"
7141,"30-05-2020",96,"Canada"
7356,"31-05-2020",215,"Canada"
7385,"01-06-2020",29,"Canada"
7456,"02-06-2020",71,"Canada"
7558,"03-06-2020",102,"Canada"
7697,"04-06-2020",139,"Canada"
7758,"05-06-2020",61,"Canada"
7830,"06-06-2020",72,"Canada"
7857,"07-06-2020",27,"Canada"
7890,"08-06-2020",33,"Canada"
7949,"09-06-2020",59,"Canada"
8008,"10-06-2020",59,"Canada"
8049,"11-06-2020",41,"Canada"
8103,"12-06-2020",54,"Canada"
8162,"13-06-2020",59,"Canada"
8197,"14-06-2020",35,"Canada"
8227,"15-06-2020",30,"Canada"
8268,"16-06-2020",41,"Canada"
8303,"17-06-2020",35,"Canada"
8350,"18-06-2020",47,"Canada"
8395,"19-06-2020",45,"Canada"
8455,"20-06-2020",60,"Canada"
