"cumulative_recovered","date_recovered","province","recovered"
1,"12-02-2020","Canada",1
1,"13-02-2020","Canada",0
1,"14-02-2020","Canada",0
1,"15-02-2020","Canada",0
1,"16-02-2020","Canada",0
1,"17-02-2020","Canada",0
1,"18-02-2020","Canada",0
2,"19-02-2020","Canada",1
3,"20-02-2020","Canada",1
4,"21-02-2020","Canada",1
4,"22-02-2020","Canada",0
4,"23-02-2020","Canada",0
4,"24-02-2020","Canada",0
7,"25-02-2020","Canada",3
7,"26-02-2020","Canada",0
7,"27-02-2020","Canada",0
7,"28-02-2020","Canada",0
7,"29-02-2020","Canada",0
7,"01-03-2020","Canada",0
7,"02-03-2020","Canada",0
7,"03-03-2020","Canada",0
7,"04-03-2020","Canada",0
8,"05-03-2020","Canada",1
8,"06-03-2020","Canada",0
8,"07-03-2020","Canada",0
8,"08-03-2020","Canada",0
9,"09-03-2020","Canada",1
9,"10-03-2020","Canada",0
9,"11-03-2020","Canada",0
9,"12-03-2020","Canada",0
10,"13-03-2020","Canada",1
10,"14-03-2020","Canada",0
10,"15-03-2020","Canada",0
10,"16-03-2020","Canada",0
10,"17-03-2020","Canada",0
11,"18-03-2020","Canada",1
13,"19-03-2020","Canada",2
15,"20-03-2020","Canada",2
16,"21-03-2020","Canada",1
18,"22-03-2020","Canada",2
112,"23-03-2020","Canada",94
186,"24-03-2020","Canada",74
198,"25-03-2020","Canada",12
229,"26-03-2020","Canada",31
356,"27-03-2020","Canada",127
505,"28-03-2020","Canada",149
589,"29-03-2020","Canada",84
1122,"30-03-2020","Canada",533
1306,"31-03-2020","Canada",184
1676,"01-04-2020","Canada",370
1981,"02-04-2020","Canada",305
2335,"03-04-2020","Canada",354
2748,"04-04-2020","Canada",413
3113,"05-04-2020","Canada",365
3629,"06-04-2020","Canada",516
4063,"07-04-2020","Canada",434
4666,"08-04-2020","Canada",603
5324,"09-04-2020","Canada",658
6026,"10-04-2020","Canada",702
6663,"11-04-2020","Canada",637
7185,"12-04-2020","Canada",522
7771,"13-04-2020","Canada",586
8248,"14-04-2020","Canada",477
8992,"15-04-2020","Canada",744
9725,"16-04-2020","Canada",733
10556,"17-04-2020","Canada",831
11220,"18-04-2020","Canada",664
11856,"19-04-2020","Canada",636
12599,"20-04-2020","Canada",743
13201,"21-04-2020","Canada",602
13999,"22-04-2020","Canada",798
14774,"23-04-2020","Canada",775
15554,"24-04-2020","Canada",780
16438,"25-04-2020","Canada",884
17334,"26-04-2020","Canada",896
18281,"27-04-2020","Canada",947
19244,"28-04-2020","Canada",963
20340,"29-04-2020","Canada",1096
21437,"30-04-2020","Canada",1097
22764,"01-05-2020","Canada",1327
