"cumulative_dvaccine","date_vaccine_distributed","dvaccine","province"
0,"13-12-2020",0,"Alberta"
3900,"14-12-2020",3900,"Alberta"
3900,"15-12-2020",0,"Alberta"
3900,"16-12-2020",0,"Alberta"
3900,"17-12-2020",0,"Alberta"
3900,"18-12-2020",0,"Alberta"
3900,"19-12-2020",0,"Alberta"
3900,"20-12-2020",0,"Alberta"
3900,"21-12-2020",0,"Alberta"
29250,"22-12-2020",25350,"Alberta"
29250,"23-12-2020",0,"Alberta"
29250,"24-12-2020",0,"Alberta"
29250,"25-12-2020",0,"Alberta"
29250,"26-12-2020",0,"Alberta"
29250,"27-12-2020",0,"Alberta"
29250,"28-12-2020",0,"Alberta"
29250,"29-12-2020",0,"Alberta"
46150,"30-12-2020",16900,"Alberta"
46150,"31-12-2020",0,"Alberta"
46150,"01-01-2021",0,"Alberta"
46150,"02-01-2021",0,"Alberta"
46150,"03-01-2021",0,"Alberta"
46150,"04-01-2021",0,"Alberta"
46150,"05-01-2021",0,"Alberta"
46150,"06-01-2021",0,"Alberta"
59800,"07-01-2021",13650,"Alberta"
59800,"08-01-2021",0,"Alberta"
59800,"09-01-2021",0,"Alberta"
59800,"10-01-2021",0,"Alberta"
59800,"11-01-2021",0,"Alberta"
59800,"12-01-2021",0,"Alberta"
59800,"13-01-2021",0,"Alberta"
84175,"14-01-2021",24375,"Alberta"
84175,"15-01-2021",0,"Alberta"
84175,"16-01-2021",0,"Alberta"
101275,"17-01-2021",17100,"Alberta"
101275,"18-01-2021",0,"Alberta"
101275,"19-01-2021",0,"Alberta"
101275,"20-01-2021",0,"Alberta"
101275,"21-01-2021",0,"Alberta"
122725,"22-01-2021",21450,"Alberta"
122725,"23-01-2021",0,"Alberta"
122725,"24-01-2021",0,"Alberta"
0,"13-12-2020",0,"BC"
3900,"14-12-2020",3900,"BC"
3900,"15-12-2020",0,"BC"
3900,"16-12-2020",0,"BC"
3900,"17-12-2020",0,"BC"
3900,"18-12-2020",0,"BC"
3900,"19-12-2020",0,"BC"
3900,"20-12-2020",0,"BC"
26325,"21-12-2020",22425,"BC"
26325,"22-12-2020",0,"BC"
26325,"23-12-2020",0,"BC"
26325,"24-12-2020",0,"BC"
26325,"25-12-2020",0,"BC"
26325,"26-12-2020",0,"BC"
26325,"27-12-2020",0,"BC"
34125,"28-12-2020",7800,"BC"
34125,"29-12-2020",0,"BC"
34125,"30-12-2020",0,"BC"
54625,"31-12-2020",20500,"BC"
54625,"01-01-2021",0,"BC"
54625,"02-01-2021",0,"BC"
54625,"03-01-2021",0,"BC"
54625,"04-01-2021",0,"BC"
54625,"05-01-2021",0,"BC"
54625,"06-01-2021",0,"BC"
71200,"07-01-2021",16575,"BC"
