"cumulative_deaths","date_death_report","deaths","province"
0,"08-03-2020",0,"Alberta"
0,"09-03-2020",0,"Alberta"
0,"10-03-2020",0,"Alberta"
0,"11-03-2020",0,"Alberta"
0,"12-03-2020",0,"Alberta"
0,"13-03-2020",0,"Alberta"
0,"14-03-2020",0,"Alberta"
0,"15-03-2020",0,"Alberta"
0,"16-03-2020",0,"Alberta"
0,"17-03-2020",0,"Alberta"
0,"18-03-2020",0,"Alberta"
1,"19-03-2020",1,"Alberta"
1,"20-03-2020",0,"Alberta"
1,"21-03-2020",0,"Alberta"
1,"22-03-2020",0,"Alberta"
1,"23-03-2020",0,"Alberta"
2,"24-03-2020",1,"Alberta"
2,"25-03-2020",0,"Alberta"
2,"26-03-2020",0,"Alberta"
2,"27-03-2020",0,"Alberta"
2,"28-03-2020",0,"Alberta"
3,"29-03-2020",1,"Alberta"
8,"30-03-2020",5,"Alberta"
9,"31-03-2020",1,"Alberta"
11,"01-04-2020",2,"Alberta"
13,"02-04-2020",2,"Alberta"
18,"03-04-2020",5,"Alberta"
20,"04-04-2020",2,"Alberta"
23,"05-04-2020",3,"Alberta"
24,"06-04-2020",1,"Alberta"
26,"07-04-2020",2,"Alberta"
29,"08-04-2020",3,"Alberta"
32,"09-04-2020",3,"Alberta"
39,"10-04-2020",7,"Alberta"
40,"11-04-2020",1,"Alberta"
44,"12-04-2020",4,"Alberta"
46,"13-04-2020",2,"Alberta"
48,"14-04-2020",2,"Alberta"
48,"15-04-2020",0,"Alberta"
50,"16-04-2020",2,"Alberta"
50,"17-04-2020",0,"Alberta"
51,"18-04-2020",1,"Alberta"
55,"19-04-2020",4,"Alberta"
59,"20-04-2020",4,"Alberta"
61,"21-04-2020",2,"Alberta"
66,"22-04-2020",5,"Alberta"
68,"23-04-2020",2,"Alberta"
72,"24-04-2020",4,"Alberta"
73,"25-04-2020",1,"Alberta"
73,"26-04-2020",0,"Alberta"
75,"27-04-2020",2,"Alberta"
80,"28-04-2020",5,"Alberta"
87,"29-04-2020",7,"Alberta"
89,"30-04-2020",2,"Alberta"
92,"01-05-2020",3,"Alberta"
94,"02-05-2020",2,"Alberta"
95,"03-05-2020",1,"Alberta"
104,"04-05-2020",9,"Alberta"
106,"05-05-2020",2,"Alberta"
112,"06-05-2020",6,"Alberta"
114,"07-05-2020",2,"Alberta"
115,"08-05-2020",1,"Alberta"
116,"09-05-2020",1,"Alberta"
117,"10-05-2020",1,"Alberta"
117,"11-05-2020",0,"Alberta"
118,"12-05-2020",1,"Alberta"
120,"13-05-2020",2,"Alberta"
121,"14-05-2020",1,"Alberta"
125,"15-05-2020",4,"Alberta"
126,"16-05-2020",1,"Alberta"
127,"17-05-2020",1,"Alberta"
128,"18-05-2020",1,"Alberta"
128,"19-05-2020",0,"Alberta"
128,"20-05-2020",0,"Alberta"
132,"21-05-2020",4,"Alberta"
134,"22-05-2020",2,"Alberta"
135,"23-05-2020",1,"Alberta"
135,"24-05-2020",0,"Alberta"
138,"25-05-2020",3,"Alberta"
139,"26-05-2020",1,"Alberta"
141,"27-05-2020",2,"Alberta"
143,"28-05-2020",2,"Alberta"
143,"29-05-2020",0,"Alberta"
143,"30-05-2020",0,"Alberta"
143,"31-05-2020",0,"Alberta"
143,"01-06-2020",0,"Alberta"
143,"02-06-2020",0,"Alberta"
145,"03-06-2020",2,"Alberta"
146,"04-06-2020",1,"Alberta"
146,"05-06-2020",0,"Alberta"
146,"06-06-2020",0,"Alberta"
146,"07-06-2020",0,"Alberta"
148,"08-06-2020",2,"Alberta"
149,"09-06-2020",1,"Alberta"
